@000001C7	52
@000001C8	52
@000001C9	52
@000001CA	52
@000001CB	52
@000001CC	52
@000001CD	53
@000001CE	53
@000001CF	53
@000001D0	53
@000001D1	53
@000001D2	53
@000001D3	53
@000001D4	54
@000001D5	54
@000001D6	54
@000001D7	54
@000001D8	54
@000001D9	54
@000001DA	54
@000001DB	55
@000001DC	55
@000001DD	55
@000001DE	55
@000001DF	55
@000001E0	55
@000001E1	55
@000001E2	56
@000001E3	56
@000001E4	56
@000001E5	56
@000001E6	56
@000001E7	56
@000001E8	56
@000001E9	57
@000001EA	57
@000001EB	57
@000001EC	57
@000001ED	57
@000001EE	57
@000001EF	57
@000001F0	58
@000001F1	58
@000001F2	58
@000001F3	58
@000001F4	58
@000001F5	58
@000001F6	58
@000001F7	59
@000001F8	59
@000001F9	59
@000001FA	59
@000001FB	59
@000001FC	59
@000001FD	59
@000001FE	5A
@000001FF	5A
@00000200	5A
@00000201	5A
@00000202	5A
@00000203	5A
@00000204	5A
@00000205	5A
@00000206	5B
@00000207	5B
@00000208	5B
@00000209	5B
@0000020A	5B
@0000020B	5B
@0000020C	5B
@0000020D	5C
@0000020E	5C
@0000020F	5C
@00000210	5C
@00000211	5C
@00000212	5C
@00000213	5C
@00000214	5D
@00000215	5D
@00000216	5D
@00000217	5D
@00000218	5D
@00000219	5D
@0000021A	5D
@0000021B	5D
@0000021C	5E
@0000021D	5E
@0000021E	5E
@0000021F	5E
@00000220	5E
@00000221	5E
@00000222	5E
@00000223	5E
@00000224	5F
@00000225	5F
@00000226	5F
@00000227	5F
@00000228	5F
@00000229	5F
@0000022A	5F
@0000022B	60
@0000022C	60
@0000022D	60
@0000022E	60
@0000022F	60
@00000230	60
@00000231	60
@00000232	60
@00000233	61
@00000234	61
@00000235	61
@00000236	61
@00000237	61
@00000238	61
@00000239	61
@0000023A	61
@0000023B	62
@0000023C	62
@0000023D	62
@0000023E	62
@0000023F	62
@00000240	62
@00000241	62
@00000242	62
@00000243	63
@00000244	63
@00000245	63
@00000246	63
@00000247	63
@00000248	63
@00000249	63
@0000024A	63
@0000024B	64
@0000024C	64
@0000024D	64
@0000024E	64
@0000024F	64
@00000250	64
@00000251	64
@00000252	64
@00000253	64
@00000254	65
@00000255	65
@00000256	65
@00000257	65
@00000258	65
@00000259	65
@0000025A	65
@0000025B	65
@0000025C	66
@0000025D	66
@0000025E	66
@0000025F	66
@00000260	66
@00000261	66
@00000262	66
@00000263	66
@00000264	66
@00000265	67
@00000266	67
@00000267	67
@00000268	67
@00000269	67
@0000026A	67
@0000026B	67
@0000026C	67
@0000026D	67
@0000026E	68
@0000026F	68
@00000270	68
@00000271	68
@00000272	68
@00000273	68
@00000274	68
@00000275	68
@00000276	69
@00000277	69
@00000278	69
@00000279	69
@0000027A	69
@0000027B	69
@0000027C	69
@0000027D	69
@0000027E	69
@0000027F	69
@00000280	6A
@00000281	6A
@00000282	6A
@00000283	6A
@00000284	6A
@00000285	6A
@00000286	6A
@00000287	6A
@00000288	6A
@00000289	6B
@0000028A	6B
@0000028B	6B
@0000028C	6B
@0000028D	6B
@0000028E	6B
@0000028F	6B
@00000290	6B
@00000291	6B
@00000292	6C
@00000293	6C
@00000294	6C
@00000295	6C
@00000296	6C
@00000297	6C
@00000298	6C
@00000299	6C
@0000029A	6C
@0000029B	6C
@0000029C	6D
@0000029D	6D
@0000029E	6D
@0000029F	6D
@000002A0	6D
@000002A1	6D
@000002A2	6D
@000002A3	6D
@000002A4	6D
@000002A5	6D
@000002A6	6E
@000002A7	6E
@000002A8	6E
@000002A9	6E
@000002AA	6E
@000002AB	6E
@000002AC	6E
@000002AD	6E
@000002AE	6E
@000002AF	6E
@000002B0	6F
@000002B1	6F
@000002B2	6F
@000002B3	6F
@000002B4	6F
@000002B5	6F
@000002B6	6F
@000002B7	6F
@000002B8	6F
@000002B9	6F
@000002BA	6F
@000002BB	70
@000002BC	70
@000002BD	70
@000002BE	70
@000002BF	70
@000002C0	70
@000002C1	70
@000002C2	70
